Sample_ID,Food_Name,Category,Food_Type,Storage_Type,Quantity_kg,City,Donation_DateTime,Hour_of_Day,Day_of_Week,Shelf_Life_Hours,Hours_Since_Prepared,Remaining_Hours,Spoilage_Risk,Is_Spoiled,Prediction_Confidence
1066,Sparkling Water,beverages,non-veg,refrigerated,13.4,Noida,2026-08-12 11:30,11,Wednesday,427.2,86.3,340.9,Low,0,Medium
1067,Papad Packets,packaged-food,veg,refrigerated,31.7,Pune,2026-07-09 17:29,17,Thursday,2414.7,1160.6,1254.1,Medium,0,Medium
1068,Kombucha,beverages,non-veg,room-temperature,6.2,Jaipur,2026-09-10 12:36,12,Thursday,110.3,148.5,0.0,High,1,Medium
1069,Oranges,fruits-vegetables,veg,room-temperature,33.5,Indore,2026-01-22 19:47,19,Thursday,70.3,104.3,0.0,High,1,Medium
1070,Dried Fruits Pack,packaged-food,non-veg,room-temperature,12.5,Hyderabad,2026-05-28 11:28,11,Thursday,486.8,646.5,0.0,High,1,Medium
1071,Condensed Milk,dairy,veg,refrigerated,3.0,Gurgaon,2026-04-16 14:32,14,Thursday,20.3,5.1,15.2,Low,0,High
1072,Palak Paneer,cooked-meals,veg,room-temperature,10.5,Pune,2026-05-25 21:36,21,Monday,3.8,4.2,0.0,High,1,High
1073,Oranges,fruits-vegetables,veg,room-temperature,17.2,Kochi,2026-08-10 13:05,13,Monday,66.7,13.7,53.0,Low,0,Medium
1074,Coconut Water,beverages,non-veg,room-temperature,15.4,Bangalore,2026-04-24 18:20,18,Friday,108.5,82.5,26.0,High,0,Medium
1075,Watermelon Juice,beverages,veg,frozen,14.4,Noida,2026-01-20 13:59,13,Tuesday,2173.3,2589.0,0.0,High,1,Medium
1076,Chips / Crisps,packaged-food,veg,room-temperature,21.9,Ahmedabad,2026-04-23 17:16,17,Thursday,711.7,161.7,550.0,Low,0,Medium
1077,Orange Juice,beverages,non-veg,room-temperature,5.6,Noida,2026-02-15 21:54,21,Sunday,115.4,129.7,0.0,High,0,Medium
1078,Mutton Rogan Josh,cooked-meals,non-veg,room-temperature,11.6,Lucknow,2026-05-15 15:40,15,Friday,2.9,1.0,1.9,Low,0,High
1079,Cereal Box,packaged-food,non-veg,refrigerated,35.1,Lucknow,2026-09-08 19:25,19,Tuesday,1684.5,902.4,782.1,Medium,0,Medium
1080,Sambar Rice,cooked-meals,non-veg,refrigerated,11.7,Pune,2026-08-17 11:42,11,Monday,10.5,1.8,8.7,Low,0,High
1081,Cheese Slices,dairy,veg,refrigerated,2.8,Ahmedabad,2026-09-05 19:55,19,Saturday,22.0,19.8,2.2,High,0,High
1082,Rajma Chawal,cooked-meals,veg,refrigerated,3.4,Pune,2026-06-15 11:20,11,Monday,13.1,7.7,5.4,Medium,0,High
1083,Mangoes,fruits-vegetables,veg,frozen,10.0,Ahmedabad,2026-11-22 19:19,19,Sunday,852.6,524.1,328.5,Medium,0,Medium
1084,Scones,bakery,veg,room-temperature,38.2,Lucknow,2026-11-11 15:08,15,Wednesday,50.9,41.2,9.7,High,0,High
1085,Pulao,cooked-meals,non-veg,refrigerated,23.0,Jaipur,2026-10-11 08:03,8,Sunday,10.5,3.3,7.2,Low,0,High
1086,Scones,bakery,veg,room-temperature,15.2,Pune,2026-03-24 20:21,20,Tuesday,47.7,15.4,32.3,Low,0,High
1087,Vegetable Biryani,cooked-meals,non-veg,frozen,4.4,Bangalore,2026-07-23 19:02,19,Thursday,34.2,14.5,19.7,Medium,0,High
1088,Sugarcane Juice,beverages,veg,refrigerated,15.5,Kochi,2026-07-13 16:08,16,Monday,556.7,618.4,0.0,High,1,Medium
1089,Paneer Butter Masala,cooked-meals,veg,frozen,19.5,Kochi,2026-08-01 05:47,5,Saturday,51.8,42.1,9.7,High,0,High
1090,Mixed Veg Curry,cooked-meals,veg,frozen,21.8,New Delhi,2026-06-15 12:47,12,Monday,45.9,20.8,25.1,Medium,0,High
1091,Chole Bhature,cooked-meals,veg,refrigerated,4.1,Chennai,2026-07-28 14:30,14,Tuesday,15.0,20.4,0.0,High,1,High
1092,Naan Bread,bakery,non-veg,frozen,18.8,Mumbai,2026-07-10 18:45,18,Friday,412.9,280.1,132.8,Medium,0,High
1093,Pulao,cooked-meals,veg,refrigerated,15.0,Gurgaon,2026-11-26 11:09,11,Thursday,14.2,13.4,0.8,High,0,High
1094,Cereal Box,packaged-food,veg,room-temperature,8.8,Jaipur,2026-07-26 15:30,15,Sunday,721.5,782.5,0.0,High,1,Medium
1095,Whole Wheat Bread,bakery,veg,refrigerated,30.9,Lucknow,2026-03-19 06:44,6,Thursday,160.8,144.4,16.4,High,0,High
1096,Buttermilk,dairy,veg,refrigerated,14.4,Ahmedabad,2026-05-01 11:45,11,Friday,19.9,15.4,4.5,High,0,High
1097,Lemonade,beverages,veg,refrigerated,14.6,Bangalore,2026-07-12 09:00,9,Sunday,561.7,438.1,123.6,High,0,Medium
1098,Banana Bread,bakery,veg,refrigerated,22.3,Bangalore,2026-11-17 19:31,19,Tuesday,159.6,179.3,0.0,High,1,High
1099,Bananas,fruits-vegetables,veg,refrigerated,26.0,Lucknow,2026-12-13 11:20,11,Sunday,263.3,351.3,0.0,High,1,Medium
1100,Cupcakes,bakery,veg,room-temperature,33.1,Ahmedabad,2026-07-10 14:16,14,Friday,46.8,32.5,14.3,Medium,0,High
1101,Iced Tea,beverages,veg,frozen,14.9,Bangalore,2026-08-31 01:26,1,Monday,1873.4,422.5,1450.9,Low,0,Medium
1102,Rajma Chawal,cooked-meals,veg,room-temperature,14.4,Ahmedabad,2026-06-19 08:39,8,Friday,4.3,3.8,0.5,High,0,High
1103,Lemon Soda,beverages,veg,refrigerated,13.3,Indore,2026-04-09 11:52,11,Thursday,624.1,812.7,0.0,High,1,Medium
1104,Milkshake,dairy,veg,refrigerated,10.0,Mumbai,2026-04-14 08:09,8,Tuesday,22.4,24.6,0.0,High,1,High
1105,Ghee,dairy,veg,refrigerated,9.2,Kochi,2026-07-16 11:49,11,Thursday,22.7,20.2,2.5,High,0,High
1106,Energy Drinks,beverages,non-veg,room-temperature,5.0,Indore,2026-04-29 23:05,23,Wednesday,111.5,134.4,0.0,High,1,Medium
1107,Dinner Rolls,bakery,veg,room-temperature,9.8,Kolkata,2026-08-14 12:30,12,Friday,47.2,21.4,25.8,Medium,0,High
1108,Scones,bakery,veg,refrigerated,29.7,Kolkata,2026-07-01 11:33,11,Wednesday,174.9,139.2,35.7,High,0,High
1109,Cookies,bakery,veg,refrigerated,24.6,Chandigarh,2026-09-08 17:16,17,Tuesday,173.3,31.3,142.0,Low,0,High
1110,Sparkling Water,beverages,veg,room-temperature,17.6,Noida,2026-08-27 18:22,18,Thursday,158.7,101.0,57.7,Medium,0,Medium
1111,Naan Bread,bakery,veg,frozen,39.8,Hyderabad,2026-04-11 13:33,13,Saturday,605.1,5.1,600.0,Low,0,High
1112,Fish Fry,cooked-meals,veg,room-temperature,16.0,Ahmedabad,2026-01-18 16:41,16,Sunday,3.8,2.3,1.5,Medium,0,High
1113,Herbal Tea Flask,beverages,non-veg,frozen,3.0,Noida,2026-10-20 19:55,19,Tuesday,1348.8,1876.7,0.0,High,1,Medium
1114,Green Juice,beverages,non-veg,room-temperature,10.5,Mumbai,2026-11-28 18:51,18,Saturday,118.3,6.8,111.5,Low,0,Medium
1115,Iced Tea,beverages,veg,room-temperature,3.5,Noida,2026-03-03 07:40,7,Tuesday,170.5,15.9,154.6,Low,0,Medium
1116,Dried Fruits Pack,packaged-food,veg,room-temperature,5.8,Indore,2026-12-11 19:20,19,Friday,729.2,775.8,0.0,High,1,Medium
1117,Soup Packets,packaged-food,veg,room-temperature,42.7,Kochi,2026-12-09 07:12,7,Wednesday,672.9,768.4,0.0,High,1,Medium
1118,Paneer,dairy,veg,room-temperature,9.5,Chandigarh,2026-12-19 13:11,13,Saturday,6.4,7.2,0.0,High,1,High
1119,Rajma Chawal,cooked-meals,non-veg,room-temperature,9.9,Lucknow,2026-10-18 19:05,19,Sunday,2.7,3.8,0.0,High,1,High
1120,Pasta Alfredo,cooked-meals,veg,frozen,16.4,New Delhi,2026-01-11 18:50,18,Sunday,45.2,14.7,30.5,Low,0,High
1121,Sambar Rice,cooked-meals,non-veg,frozen,23.7,Bangalore,2026-04-08 18:47,18,Wednesday,35.7,16.6,19.1,Medium,0,High
1122,Cream,dairy,veg,refrigerated,6.8,Bangalore,2026-04-07 11:12,11,Tuesday,22.5,33.1,0.0,High,1,High
1123,Mangoes,fruits-vegetables,veg,frozen,14.6,Chandigarh,2026-11-25 14:53,14,Wednesday,914.1,942.0,0.0,High,1,Medium
1124,Rice Packets,packaged-food,veg,room-temperature,49.7,Chandigarh,2026-08-11 12:51,12,Tuesday,755.7,902.6,0.0,High,1,Medium
1125,Watermelon Juice,beverages,non-veg,room-temperature,11.2,Chennai,2026-04-18 11:29,11,Saturday,120.5,5.7,114.8,Low,0,Medium
1126,Smoothies,beverages,non-veg,room-temperature,10.4,Chandigarh,2026-06-15 12:24,12,Monday,118.6,104.7,13.9,High,0,Medium
1127,Coconut Water,beverages,non-veg,room-temperature,4.9,Indore,2026-09-01 11:41,11,Tuesday,109.8,16.5,93.3,Low,0,Medium
1128,Cream,dairy,veg,refrigerated,1.3,Noida,2026-11-12 13:36,13,Thursday,20.7,13.5,7.2,Medium,0,High
1129,Fruit Cake,bakery,veg,refrigerated,28.7,Indore,2026-06-03 07:59,7,Wednesday,164.6,57.8,106.8,Low,0,High
1130,Canned Beans,packaged-food,non-veg,refrigerated,47.9,Jaipur,2026-07-25 15:10,15,Saturday,1696.2,423.3,1272.9,Low,0,Medium
1131,Papad Packets,packaged-food,veg,refrigerated,10.8,Mumbai,2026-06-20 19:03,19,Saturday,2610.1,1210.9,1399.2,Medium,0,Medium
1132,Raita,dairy,veg,refrigerated,10.2,Chennai,2026-04-13 20:19,20,Monday,21.0,2.5,18.5,Low,0,High
1133,Garlic Bread,bakery,veg,room-temperature,29.0,Kolkata,2026-07-11 00:10,0,Saturday,44.8,6.7,38.1,Low,0,High
1134,Carrots,fruits-vegetables,veg,refrigerated,25.6,Gurgaon,2026-02-19 12:20,12,Thursday,240.7,337.7,0.0,High,1,Medium
1135,Cottage Cheese,dairy,veg,refrigerated,2.0,New Delhi,2026-09-08 17:37,17,Tuesday,21.6,7.2,14.4,Low,0,High
1136,Sandwich Bread,bakery,veg,room-temperature,26.4,Hyderabad,2026-07-23 20:41,20,Thursday,44.7,9.3,35.4,Low,0,High
1137,Brownies,bakery,veg,refrigerated,27.9,Pune,2026-08-06 09:19,9,Thursday,177.4,179.7,0.0,High,1,High
1138,Kheer,dairy,veg,refrigerated,8.2,Kolkata,2026-02-24 13:05,13,Tuesday,21.0,21.6,0.0,High,1,High
1139,Bananas,fruits-vegetables,veg,frozen,19.2,Chandigarh,2026-12-18 13:31,13,Friday,861.3,1240.2,0.0,High,1,Medium
1140,Rajma Chawal,cooked-meals,veg,frozen,4.7,Ahmedabad,2026-08-19 13:49,13,Wednesday,48.7,52.0,0.0,High,1,High
1141,Cheese Slices,dairy,veg,refrigerated,6.4,Kolkata,2026-12-12 08:00,8,Saturday,22.1,31.4,0.0,High,1,High
1142,Buttermilk,dairy,veg,room-temperature,4.9,Kolkata,2026-03-04 20:29,20,Wednesday,5.9,0.4,5.5,Low,0,High
1143,Flavoured Yogurt,dairy,veg,refrigerated,11.7,Chennai,2026-01-13 14:11,14,Tuesday,21.6,11.6,10.0,Medium,1,High
1144,Cottage Cheese,dairy,veg,refrigerated,11.2,Bangalore,2026-09-30 18:15,18,Wednesday,21.2,2.7,18.5,Low,0,High
1145,Iced Tea,beverages,non-veg,refrigerated,18.1,Lucknow,2026-06-26 22:44,22,Friday,396.3,145.1,251.2,Low,0,Medium
1146,Watermelon Juice,beverages,non-veg,room-temperature,3.4,Noida,2026-07-10 07:38,7,Friday,124.7,119.3,5.4,High,0,Medium
1147,Papaya,fruits-vegetables,veg,frozen,27.0,Noida,2026-08-05 12:11,12,Wednesday,905.1,348.7,556.4,Low,0,Medium
1148,Khichdi,cooked-meals,non-veg,frozen,8.0,Kochi,2026-06-05 15:34,15,Friday,34.5,41.1,0.0,High,1,High
1149,Fish Fry,cooked-meals,veg,refrigerated,8.3,Jaipur,2026-12-19 19:17,19,Saturday,14.8,14.9,0.0,High,1,High
1150,Brownies,bakery,veg,room-temperature,5.7,Chennai,2026-08-01 16:17,16,Saturday,50.8,35.2,15.6,Medium,0,High
1151,Milkshake Bottles,beverages,veg,room-temperature,6.0,Lucknow,2026-12-30 11:04,11,Wednesday,173.6,75.0,98.6,Medium,0,Medium
1152,Broccoli,fruits-vegetables,veg,refrigerated,20.3,Kolkata,2026-09-01 21:00,21,Tuesday,265.6,135.7,129.9,Medium,0,Medium
1153,Onions,fruits-vegetables,veg,refrigerated,9.7,Chennai,2026-12-24 10:24,10,Thursday,260.0,157.1,102.9,Medium,0,Medium
1154,Instant Noodles,packaged-food,non-veg,frozen,8.7,Gurgaon,2026-09-29 12:18,12,Tuesday,6222.3,2943.2,3279.1,Medium,0,Medium
1155,Roti & Sabzi,cooked-meals,non-veg,frozen,11.9,Jaipur,2026-01-12 18:18,18,Monday,34.2,38.2,0.0,High,1,High
1156,Sweet Corn,fruits-vegetables,veg,room-temperature,6.1,Lucknow,2026-04-22 10:07,10,Wednesday,74.9,32.5,42.4,Medium,0,Medium
1157,Buttermilk Packs,beverages,non-veg,refrigerated,15.5,Kolkata,2026-08-03 20:17,20,Monday,389.1,449.7,0.0,High,1,Medium
1158,Milkshake Bottles,beverages,non-veg,room-temperature,17.5,Kochi,2026-09-11 18:18,18,Friday,124.8,173.1,0.0,High,1,Medium
1159,Naan Bread,bakery,veg,refrigerated,31.7,Mumbai,2026-12-02 10:58,10,Wednesday,178.0,102.4,75.6,Medium,0,High
1160,Cabbage,fruits-vegetables,veg,frozen,10.2,Lucknow,2026-11-09 15:05,15,Monday,798.9,683.8,115.1,High,0,Medium
1161,Egg Curry,cooked-meals,veg,frozen,12.9,Noida,2026-02-16 21:01,21,Monday,50.5,45.6,4.9,High,0,High
1162,Sweet Corn,fruits-vegetables,veg,room-temperature,17.6,Noida,2026-05-03 10:59,10,Sunday,67.7,93.6,0.0,High,1,Medium
1163,Paneer,dairy,veg,refrigerated,7.4,Gurgaon,2026-12-17 15:15,15,Thursday,20.4,5.4,15.0,Low,0,High
1164,Coconut Water,beverages,non-veg,room-temperature,6.4,Chandigarh,2026-02-05 00:02,0,Thursday,122.2,124.1,0.0,High,1,Medium
1165,Cauliflower,fruits-vegetables,veg,refrigerated,31.3,Lucknow,2026-10-03 09:49,9,Saturday,238.3,231.3,7.0,High,0,Medium
1166,Kadhi Pakora,cooked-meals,non-veg,room-temperature,8.7,Gurgaon,2026-07-23 19:46,19,Thursday,2.9,0.2,2.7,Low,0,High
1167,Sugar Packets,packaged-food,non-veg,room-temperature,43.1,Noida,2026-10-24 18:07,18,Saturday,530.8,134.5,396.3,Low,0,Medium
1168,Butter,dairy,veg,refrigerated,2.4,Indore,2026-11-25 17:29,17,Wednesday,21.0,22.3,0.0,High,1,High
1169,Whey Protein Shake,dairy,veg,refrigerated,12.0,Lucknow,2026-12-25 11:17,11,Friday,19.3,1.0,18.3,Low,0,High
1170,Granola Mix,packaged-food,veg,refrigerated,30.4,Bangalore,2026-05-30 11:45,11,Saturday,2434.1,2072.5,361.6,High,0,Medium
1171,Green Juice,beverages,non-veg,room-temperature,15.4,Chennai,2026-12-22 09:38,9,Tuesday,119.8,154.4,0.0,High,1,Medium
1172,White Bread,bakery,veg,room-temperature,25.4,Noida,2026-05-13 12:32,12,Wednesday,51.7,67.5,0.0,High,1,High
1173,Green Beans,fruits-vegetables,non-veg,frozen,8.0,Pune,2026-09-14 11:23,11,Monday,617.6,801.7,0.0,High,1,Medium
1174,Bagels,bakery,veg,refrigerated,5.5,Hyderabad,2026-02-03 12:19,12,Tuesday,161.5,54.3,107.2,Low,0,High
1175,Coconut Water,beverages,veg,refrigerated,11.0,New Delhi,2026-10-19 20:58,20,Monday,600.6,756.7,0.0,High,1,Medium
1176,Jam Bottle,packaged-food,veg,room-temperature,22.9,Mumbai,2026-02-20 21:32,21,Friday,724.6,295.1,429.5,Medium,0,Medium
1177,Lemon Soda,beverages,veg,room-temperature,10.0,Gurgaon,2026-09-25 11:16,11,Friday,175.5,194.7,0.0,High,1,Medium
1178,Sugarcane Juice,beverages,veg,frozen,14.9,Chennai,2026-04-01 07:38,7,Wednesday,1889.2,1564.2,325.0,High,0,Medium
1179,Croissants,bakery,veg,room-temperature,12.3,Ahmedabad,2026-05-05 15:37,15,Tuesday,50.0,34.8,15.2,Medium,0,High
1180,Egg Curry,cooked-meals,veg,room-temperature,12.2,Lucknow,2026-09-01 10:34,10,Tuesday,4.0,1.3,2.7,Low,0,High
1181,Biscuit Packets,packaged-food,non-veg,refrigerated,24.9,Chandigarh,2026-11-26 10:51,10,Thursday,1894.7,1746.2,148.5,High,0,Medium
1182,Chole Bhature,cooked-meals,non-veg,refrigerated,16.5,Chennai,2026-06-18 14:32,14,Thursday,9.6,13.7,0.0,High,1,High
1183,Jam Bottle,packaged-food,non-veg,room-temperature,27.6,Bangalore,2026-11-17 13:48,13,Tuesday,514.7,376.4,138.3,High,0,Medium
1184,Namkeen Mix,packaged-food,non-veg,room-temperature,39.2,Kochi,2026-12-11 11:59,11,Friday,538.8,358.2,180.6,Medium,0,Medium
1185,Cereal Box,packaged-food,veg,refrigerated,14.6,Jaipur,2026-09-14 11:49,11,Monday,2359.7,1670.2,689.5,High,0,Medium
1186,Peanut Butter Jar,packaged-food,veg,room-temperature,39.5,Chandigarh,2026-03-29 19:39,19,Sunday,770.4,181.6,588.8,Low,0,Medium
1187,Green Beans,fruits-vegetables,veg,refrigerated,10.3,Kochi,2026-05-15 13:54,13,Friday,259.6,118.2,141.4,Medium,0,Medium
1188,Milkshake,dairy,veg,refrigerated,8.9,New Delhi,2026-08-02 00:25,0,Sunday,19.5,28.3,0.0,High,1,High
1189,Banana Bread,bakery,veg,frozen,12.1,Kochi,2026-12-05 18:18,18,Saturday,557.7,312.4,245.3,Medium,0,High
1190,Mixed Salad,fruits-vegetables,veg,frozen,19.1,Bangalore,2026-05-21 09:15,9,Thursday,892.8,435.9,456.9,Medium,0,Medium
1191,Kombucha,beverages,non-veg,room-temperature,16.1,Noida,2026-07-19 17:58,17,Sunday,109.5,80.0,29.5,High,0,Medium
1192,Poha Mix,packaged-food,non-veg,room-temperature,33.8,Indore,2026-05-22 14:28,14,Friday,510.6,217.7,292.9,Medium,0,Medium
1193,Lemonade,beverages,non-veg,frozen,9.4,Chennai,2026-03-19 20:37,20,Thursday,1376.4,1185.3,191.1,High,0,Medium
1194,Cucumber,fruits-vegetables,veg,frozen,11.3,New Delhi,2026-09-29 19:44,19,Tuesday,880.7,185.6,695.1,Low,0,Medium
1195,Milkshake Bottles,beverages,non-veg,refrigerated,15.5,Hyderabad,2026-04-20 10:29,10,Monday,381.7,263.8,117.9,Medium,0,Medium
1196,Herbal Tea Flask,beverages,non-veg,frozen,15.5,Pune,2026-01-12 09:41,9,Monday,1495.1,958.4,536.7,Medium,0,Medium
1197,Butter Chicken,cooked-meals,non-veg,frozen,10.6,Jaipur,2026-10-17 13:02,13,Saturday,36.1,47.3,0.0,High,1,High
1198,Namkeen Mix,packaged-food,non-veg,room-temperature,8.0,Gurgaon,2026-02-08 14:35,14,Sunday,541.8,91.3,450.5,Low,0,Medium
1199,Instant Noodles,packaged-food,non-veg,room-temperature,13.6,Kochi,2026-02-07 18:27,18,Saturday,524.1,217.7,306.4,Medium,0,Medium
1200,Iced Tea,beverages,non-veg,room-temperature,5.3,Gurgaon,2026-10-22 12:33,12,Thursday,110.6,114.9,0.0,High,1,Medium
1201,Bananas,fruits-vegetables,veg,room-temperature,23.0,Kolkata,2026-07-19 05:14,5,Sunday,75.0,48.1,26.9,Medium,0,Medium
1202,Rusk,bakery,veg,frozen,28.3,Indore,2026-10-22 21:57,21,Thursday,532.2,570.7,0.0,High,1,High
1203,Cupcakes,bakery,veg,room-temperature,5.9,Gurgaon,2026-11-05 21:02,21,Thursday,44.3,8.5,35.8,Low,0,High
1204,Egg Curry,cooked-meals,non-veg,frozen,6.8,Hyderabad,2026-06-05 10:17,10,Friday,32.7,45.9,0.0,High,1,High
1205,Fresh Milk,dairy,veg,refrigerated,14.3,Kochi,2026-01-14 13:47,13,Wednesday,21.0,23.3,0.0,High,1,High
1206,Grapes,fruits-vegetables,veg,refrigerated,21.9,Jaipur,2026-03-05 08:11,8,Thursday,262.9,360.2,0.0,High,1,Medium
1207,Pasta Alfredo,cooked-meals,veg,refrigerated,19.0,Pune,2026-07-03 18:20,18,Friday,14.4,4.1,10.3,Low,0,High
1208,Soup Packets,packaged-food,non-veg,room-temperature,47.5,Pune,2026-01-09 00:51,0,Friday,499.6,300.0,199.6,Medium,0,Medium
1209,Milkshake,dairy,veg,refrigerated,12.9,Mumbai,2026-06-03 10:44,10,Wednesday,20.2,19.7,0.5,High,0,High
1210,Bananas,fruits-vegetables,veg,refrigerated,4.5,Bangalore,2026-05-08 10:00,10,Friday,272.0,211.6,60.4,High,0,Medium
1211,Apples,fruits-vegetables,veg,room-temperature,30.7,Pune,2026-12-05 11:39,11,Saturday,71.1,87.8,0.0,High,1,Medium
1212,Bagels,bakery,veg,frozen,11.4,Ahmedabad,2026-02-26 19:01,19,Thursday,571.5,174.9,396.6,Low,0,High
1213,Flavoured Yogurt,dairy,veg,refrigerated,5.6,Bangalore,2026-08-29 06:55,6,Saturday,19.9,27.3,0.0,High,1,High
1214,Green Beans,fruits-vegetables,veg,room-temperature,14.2,Mumbai,2026-04-25 08:04,8,Saturday,75.4,109.6,0.0,High,1,Medium
1215,Sweet Corn,fruits-vegetables,veg,frozen,28.9,Indore,2026-01-01 11:30,11,Thursday,890.8,1206.4,0.0,High,1,Medium
1216,Lemon Soda,beverages,non-veg,frozen,14.0,Kochi,2026-02-19 13:47,13,Thursday,1348.2,1722.9,0.0,High,1,Medium
1217,Bagels,bakery,veg,room-temperature,12.9,Pune,2026-02-12 18:45,18,Thursday,44.8,19.0,25.8,Medium,0,High
1218,Buns,bakery,veg,frozen,15.5,Lucknow,2026-12-30 22:42,22,Wednesday,592.6,462.2,130.4,High,0,High
1219,Butter,dairy,veg,refrigerated,3.0,Pune,2026-01-18 18:51,18,Sunday,21.5,20.4,1.1,High,0,High
1220,White Bread,bakery,veg,room-temperature,10.7,Ahmedabad,2026-06-15 01:30,1,Monday,46.3,59.6,0.0,High,1,High
1221,Rice Packets,packaged-food,non-veg,room-temperature,16.8,Chandigarh,2026-08-14 09:17,9,Friday,540.4,623.0,0.0,High,1,Medium
1222,Cream,dairy,veg,frozen,7.8,Chandigarh,2026-10-09 13:06,13,Friday,68.0,87.3,0.0,High,1,High
1223,Paneer,dairy,veg,refrigerated,14.5,Kochi,2026-03-06 08:29,8,Friday,20.8,3.5,17.3,Low,0,High
1224,Butter,dairy,veg,refrigerated,8.7,Bangalore,2026-02-12 22:32,22,Thursday,22.5,13.4,9.1,Medium,0,High
1225,Peanut Butter Jar,packaged-food,veg,room-temperature,5.8,Bangalore,2026-07-01 14:49,14,Wednesday,710.8,600.1,110.7,High,0,Medium
1226,Palak Paneer,cooked-meals,veg,frozen,23.8,Mumbai,2026-09-29 10:10,10,Tuesday,49.1,50.1,0.0,High,1,High
1227,Jam Bottle,packaged-food,veg,frozen,32.4,Chennai,2026-04-14 11:25,11,Tuesday,8498.4,4968.7,3529.7,Medium,0,Medium
1228,Watermelon Slices,fruits-vegetables,veg,frozen,33.0,Jaipur,2026-01-01 08:45,8,Thursday,832.8,834.6,0.0,High,1,Medium
1229,Energy Drinks,beverages,veg,room-temperature,15.6,Bangalore,2026-03-13 09:52,9,Friday,181.0,207.6,0.0,High,1,Medium
1230,Naan Bread,bakery,veg,refrigerated,25.7,Hyderabad,2026-05-08 19:04,19,Friday,165.6,239.3,0.0,High,1,High
1231,Potatoes,fruits-vegetables,veg,room-temperature,24.5,Jaipur,2026-06-17 01:07,1,Wednesday,76.5,35.7,40.8,Medium,0,Medium
1232,Energy Drinks,beverages,non-veg,room-temperature,13.9,Noida,2026-06-02 19:34,19,Tuesday,112.5,102.9,9.6,High,0,Medium
1233,Milkshake Bottles,beverages,non-veg,room-temperature,8.9,Pune,2026-05-11 09:29,9,Monday,112.2,98.5,13.7,High,0,Medium
1234,Orange Juice,beverages,non-veg,room-temperature,11.4,Lucknow,2026-02-15 23:38,23,Sunday,108.8,141.2,0.0,High,1,Medium
1235,Orange Juice,beverages,non-veg,refrigerated,3.0,Kochi,2026-02-23 20:17,20,Monday,421.6,457.9,0.0,High,1,Medium
1236,Mishti Doi,dairy,veg,refrigerated,4.5,Noida,2026-07-02 08:06,8,Thursday,20.6,24.9,0.0,High,1,High
1237,Cucumber,fruits-vegetables,veg,room-temperature,34.9,Kochi,2026-12-29 13:38,13,Tuesday,76.2,64.7,11.5,High,0,Medium
1238,Buttermilk Packs,beverages,veg,frozen,3.9,Mumbai,2026-11-26 21:36,21,Thursday,2007.4,353.7,1653.7,Low,0,Medium
1239,Ghee,dairy,veg,refrigerated,1.6,Ahmedabad,2026-11-28 19:54,19,Saturday,22.6,19.4,3.2,High,0,High
1240,Cabbage,fruits-vegetables,veg,room-temperature,3.8,Pune,2026-06-18 08:58,8,Thursday,68.4,82.3,0.0,High,1,Medium
1241,Milkshake,dairy,veg,frozen,4.5,Ahmedabad,2026-08-17 19:20,19,Monday,76.2,79.9,0.0,High,1,High
1242,Puff Pastry,bakery,veg,refrigerated,32.3,Mumbai,2026-03-30 19:54,19,Monday,175.4,87.8,87.6,Medium,0,High
1243,Sugarcane Juice,beverages,non-veg,refrigerated,3.8,Lucknow,2026-02-16 16:20,16,Monday,429.4,320.2,109.2,High,0,Medium
1244,Carrots,fruits-vegetables,veg,refrigerated,14.2,Bangalore,2026-08-13 20:48,20,Thursday,265.9,382.6,0.0,High,1,Medium
1245,Fried Rice,cooked-meals,non-veg,frozen,16.8,Bangalore,2026-06-01 18:34,18,Monday,35.0,20.9,14.1,Medium,0,High
1246,Croissants,bakery,veg,frozen,19.2,Jaipur,2026-05-15 09:21,9,Friday,587.6,311.8,275.8,Medium,0,High
1247,Potatoes,fruits-vegetables,veg,room-temperature,13.4,Hyderabad,2026-04-26 13:02,13,Sunday,67.8,55.7,12.1,High,0,Medium
1248,Fresh Milk,dairy,veg,frozen,14.8,Chandigarh,2026-05-06 20:28,20,Wednesday,66.6,81.1,0.0,High,1,High
1249,Lassi,dairy,veg,refrigerated,7.1,Hyderabad,2026-10-12 14:36,14,Monday,22.4,13.9,8.5,Medium,0,High
1250,Rice Packets,packaged-food,non-veg,room-temperature,40.9,Pune,2026-07-06 19:16,19,Monday,513.4,285.1,228.3,Medium,0,Medium
1251,Donuts,bakery,veg,frozen,9.7,Lucknow,2026-12-26 11:34,11,Saturday,603.3,116.5,486.8,Low,0,High
1252,Namkeen Mix,packaged-food,non-veg,refrigerated,32.2,Jaipur,2026-06-28 18:41,18,Sunday,1758.8,2166.2,0.0,High,1,Medium
1253,Ghee,dairy,veg,refrigerated,8.0,New Delhi,2026-08-12 08:10,8,Wednesday,19.7,16.5,3.2,High,0,High
1254,Fish Fry,cooked-meals,non-veg,room-temperature,3.5,Chennai,2026-07-01 08:46,8,Wednesday,2.6,2.2,0.4,High,0,High
1255,Fruit Juice Cartons,beverages,non-veg,refrigerated,14.7,Chandigarh,2026-03-10 23:13,23,Tuesday,423.8,287.4,136.4,Medium,0,Medium
1256,Protein Shake,beverages,non-veg,room-temperature,12.3,Gurgaon,2026-09-18 21:09,21,Friday,116.3,94.1,22.2,High,0,Medium
